treatments_sub,sub_count
"Aerial Seeding, Chemical",2
"Aerial Seeding, Closure",2
"Aerial Seeding, Drill Seeding",2
"Aerial Seeding, Grazing",2
"Aerial Seeding, Ground Seeding",2
"Aerial Seeding, Prescribed Burn",2
"Aerial Seeding, Vegetation Disturbance",2
"Closure, Weeds",2
"Drill Seeding, Greenstrip",2
"Drill Seeding, Ground Seeding",2
"Drill Seeding, Prescribed Burn",2
"Drill Seeding, Seeding",2
"Drill Seeding, Seedling Planting",2
"Drill Seeding, Soil Disturbance",2
"Drill Seeding, Vegetation Disturbance",2
"Facilities/Improvements, Soil Disturbance",2
"Greenstrip, Soil Disturbance",2
"Ground Seeding, Prescribed Burn",2
"Ground Seeding, Soil Disturbance",2
"Ground Seeding, Soil Stabilization",2
"Ground Seeding, Vegetation Disturbance",2
"Herbicide, Vegetation Disturbance",2
"Herbicide, Weeds",2
"Prescribed Burn, Seeding",2
"Prescribed Burn, Vegetation Disturbance",2
"Slash Treatment, Timber",2
"Slash Treatment, Vegetation Disturbance",2
"Aerial Seeding, Drill Seeding, Soil Disturbance",3
"Aerial Seeding, Herbicide, Soil Disturbance",3
"Aerial Seeding, Prescribed Burn, Soil Disturbance",3
"Aerial Seeding, Seedling Planting, Soil Disturbance",3
"Drill Seeding, Prescribed Burn, Soil Disturbance",3
"Ground Seeding, Seeding, Soil Disturbance",3
"Herbicide, Prescribed Burn, Vegetation Disturbance",3
"Prescribed Burn, Seeding, Vegetation Disturbance",3
"Prescribed Burn, Slash Treatment, Vegetation Disturbance",3
"Seeding, Soil Disturbance, Vegetation Disturbance",3
"Drill Seeding, Prescribed Burn, Soil Disturbance, Vegetation Disturbance",4
